Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,
Box8,2011,Mumbai,Foodtech,Enables to order food online,"Amit Raj, Anshul Gupta","IIFL Seed Ventures Fund, Menlo park","$4,000,000",,
Capital Float,2013,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon","$15,000,000",,
ITILITE,,Bangalore,Travel & SaaS,Platform for business travel,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India","$13,000,000",Series B,
Morning Context,,,Digital Media,A subscription-only digital media publisher,,Angel investors,Undisclosed,Seed Round,
Aavenir,2019,Ahmedabad,SaaS,Source-to-Pay Software,Ashish Bhandari,Accel,"$2,000,000",Seed Round,
Savvy Co op,,,Healthcare,It connects patients with healthcare companies,Jen Horonjeff,Indie VC,Undisclosed,,
BLive,2018,,Tourism & EV,"It offers experiential, guided tours on smart electric bikes","Samarth Kholkar, Sandeep Mukherjee",Mumbai Angels Network,Undisclosed,Pre series A,
Yellow Messenger,,Bangalore,AI,It offers conversational chatbots,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.","$20,000,000",Series B,
Toch,,,Media Tech,AI based Video object detection and Tagging platform,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",Inflection Point Ventures,"$400,000",,
Ewar,,Bangalore,Gaming,E-sports and real-time gaming startup,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee","$200,000",,
Setu,,,Fintech,"Offers open APIs across four categories: bills, savings, credit, and payments.","Sahil Kini, Nikhil Kumar","Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.","$14,259,000",Series A,
Wellthy Therapeutics,,Bangalore,Healthtech,It offers a digital therapeutics service,Abhishek Shah,Saama Capital,"$4,000,000",Pre series A,
Power Gummies,2018,Delhi,Health,Offers health supplements related gummies,Divij Bajaj,Venture Catalysts,Undisclosed,,
Locale ai,2019,Bangalore,Location Analytics,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,"Rishabh Jain, Aditi Sinha",Better Capital,Undisclosed,,
FarEye,,Delhi,Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods","Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell venture capital, Eight Roads Venture","$24,500,000",Series D,
Rebel Foods,,,Food tech,It runs internet kitchen,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,"$50,000,000",,
BankBazaar,2008,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund","$3,800,000",Series D,
Porter,2014,Mumbai,Logistics,Logistics and fleet management,"Pranav Goel, Uttam Digga",Lightstone Global Funds,"$18,370,000",Series D,
SugarBox,,Mumbai,Tech,Hyperlocal data distribution platform,Rohit Paranjpe,Zee Entertainment Enterprises Limited,"$68,525,000",,
Capital Float,2013,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja","$4,800,000",Series F,
Big Basket,,Bangalore,E store,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Alibaba Holdings,"$60,000,000",,
Amica,,,Fintech,Neobanking startup,Jitendra Gupta,"Hummingbird Ventures, Bedrock Capital","$2,000,000",,
Vedantu,,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,"$12,500,000",Series C,
Fingerlix,2016,,Food,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,","Shrikrishna Bharambe, Shripad Nadkarni, Varun Khanna, Abhijit Berde","Accel, Zephyr Peacock, Swiggy, RB Investments.","$1,834,000",,
Plop,,Mumbai,Tech,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,"Vineet Shetty, Anushka Shetty","Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",Undisclosed,Angel Round,
Zupee,2018,,Gaming,It runs live quiz tournaments on its app.,"Malhi, Siddhant Saurabh",Matrix Partners,"$8,000,000",Series A,
DeHaat,2012,,Agritech,Online marketplace for farming services and products,Shashank Kumar,Sequoia Capital India,"$12,000,000",Series A,
Lido Learning,,Mumbai,Edtech,Online teaching service,Sahil Sheth,Bace Capital,"$7,500,000",Series B,
Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Undisclosed,"$23,850,000",,
Swiggy,2014,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets","$43,000,000",Series A,
Akna Medical,2018,,Healthtech,Provides supply solutions for surgical and pharmaceutical products.,"Saurabh Pandey, Mahadevan Narayanamoni",LGT Lightstone Aspada,"$7,000,000",,
Zomato,,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,Deepinder Goyal,Pacific Horizon,"$5,000,000",,
RaRa Delivery,,,Logistics,Provides same day delivery service for ecommerce businesses,Karan Bhardwaj,"Der Shing Lim, 500 startups","$800,000",Seed Round,
JusPay,,Bangalore,Fintech,Online payment solutions,Vimal Kumar,Vostok Emerging Finance,"$21,600,000",Series B,
Obviously AI,2018,,Data Science,It provides predictive insights to clients by leveraging their data,"Tapojit Debnath, Nirman Dave",Arka Venture Labs,Undisclosed,,
Fingpay,2016,Mumbai,Fintech,Provides payment solutions,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,"$3,500,000",Series A,
Recko,2017,Bangalore,SaaS,The platform enables AI-powered reconciliation of digital transactions,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,"$6,000,000",Series A,
Furlenco,2012,Bangalore,Ecommerce,Furniture rental startup,Ajith Mohan Karimpana,"Chowdry Associates, Lightbox","$10,000,000",,
Mera Cashier,2019,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Gaurav Tomar, Sucharita Redd","Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg","$150,000",,
Kitchens Centre,2019,Delhi,,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,Lakshay Jain,AngelList India,"$500,000",Seed Round,
Camp K12,,Gurugram,Edtech,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners","$4,000,000",Seed Round,
MedGenome,2013,Bangalore,Healthtech,Genetic diagnostic testing company,Sam Santhosh,LeapFrog Investments,"$55,000,000",Series D,
Ergos,,Bangalore,Agritech,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,"Kishor Jha, Praveen Kumar",Aavishkar Capital,"$4,598,000",,
Nykaa,2012,Mumbai,Ecommerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview capital,"$13,137,000",,
Samadhan,2018,Delhi,Insurance,They help find solutions to insurance related issues,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts,Undisclosed,Seed Round,
SaScan,,Bangalore,Healthcare,Cancer diagnostics startup,Subhash Narayanan,Unicorn India ventures,Undisclosed,,
Lido Learning,,Mumbai,Edtech,Online teaching service,Sahil Sheth,"Pecus Capital, Madhur Deora","$3,000,000",,
CureFit,2016,Bangalore,Health and Fitness,"Integrated platform for food, fitness and meditation.","Mukesh Bansal, Ankit Nagori",Temasek,"$115,000,000",Series D,
Nimesa,2018,Bangalore,SaaS,Cloud data managemnt solutions enterprise,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring capital,Undisclosed,,
Design X,,Noida,IoT,Builds IoT based products,Preet Arjun Singh,ThinkNext LLC,"$200,000",Seed Round,
Driftly Electric,,Bangalore,Automobile,Electric vehicle startup,Sneha Roy,MG Motor India,Undisclosed,,
Imstrong,2019,Bangalore,Fitness,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,"$400,000",Seed Round,
Craftsvilla,,Mumbai,Marketplace,Online marketplace for ethnic wear,Monica Gupta. Manoj Gupta,Supera Investments,"$3,900,000",,
Rupifi,2020,Bangalore,Fintech,Offers financial products for SMEs,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma",Undisclosed,Pre seed round,
SnackAmor,,Mumbai,Food,It offers various healthy snacks,Deepak Grover,Undisclosed,Undisclosed,Seed Round,
Zealthy,2019,Bangalore,Healthtech,"It connects women to healthproviders for specialities like infertility, maternity etc.,","Rishi Malhotra, Akhil Gupta","KYT Ventures, First Cheque, AngelList",Undisclosed,Seed Round,
CoinDCX,,,Fintech,A cryptocurrency trading platform,Sumit Gupta,"Polychain Capital, Bain Capital Ventures, HDR Group","$3,000,000",Series A,
NuNu TV,,,Media,Kids-focussed Youtube channel,,Risers Accelerators,"$670,000",,
QTalk,,Bangalore,Technology,Smart Phone Dialer,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners","$1,600,000",Seed Round,
Shadez,2018,Mumbai,Interior & decor,Paint Company,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,"$100,000",Seed Round,
Excess2Sell,,Mumbai,Ecommerce,B2B Marketplace for Overstock & Surplus Inventory,Rajan Sharma,Gautham Madhavan,"$1,000,000",,
Stanplus,2016,Hyderabad,Healthtech,Ambulance service,Prabhdeep Singh,Pegasus FinInvest,"$1,500,000",Pre series A,
Pitstop,,Bangalore,Automobile,Doorstep car service,Mihir Mohan mishra,TPG-backed Group Landmark,"$2,500,000",Series A,
Univariety,2015,Hyderabad,Edtech,Online marketplace that provides career counselling and college guidance,Jaideep Gupta,Info Edge,"$1,100,000",,
Peel Works,2010,Mumbai,SaaS,E-commerce for corner/retail stores.,"Sachin Chhabra, Nidhi Ramachandran",CESC Ventures,"42.23,000","Series C, D",
CoreStack,2016,Chennai,Technology,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,"$8,500,000",Series A,
Vivriti Capital,2017,Chennai,Fintech,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,"$50,000,000",Series B,
Agnikul,,Chennai,Spacetech,"It designs, fabricates, tests and launch orbital class launch vehicles",Srinath Ravichandran,pi Ventures,"$3,148,000",Pre series A,
Fintso,2020,,Fintech,Wealth management platform,"George Mitra, Rajan Pathak","Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta","$2,600,000",,
Khatabook,,Bangalore,Fintech,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,Mahendra Singh Dhoni,Undisclosed,,
Smart Coin,2015,,Fintech,Consumer lending startup,"Amit Chandel, Rohit Garg, Vinay Kumar, Jayant Upadhyay",LGT LightstoneAspada,"$7,000,000",Series A,
ZunRoof,2016,Gurugram,Cleantech,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,"$3,000,000",Series A,
Shop101,2015,,Social e-commerce,Enables entrepreneurs to sell online,"Abhinav Jain, Aditya Gupta","Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital","$3,900,000",Series C,
OM Bhakti,,Bangalore,FMCG,A puja cotton-wicks manufacturing startup,"Sridhar Joshi, Prashant Kulkarni",Venture Catalysts,Undisclosed,Seed Round,
Lal10,2016,Uttar Pradesh,B2B,It helps Indian artisans and SMEs reach out to global retailers,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact,"$1,100,000",,
Anaxee Digital Runner,2016,Indore,Tech,A tech-enabled ID verification and data collection startup,"Govind Agrawal, Arti Agrawal",Orios Venture Partners,Undisclosed,,
CollegeKhabri,2019,Bhopal,Edtech,Platform is an end-to-end college and career counselling platform for students,Arshi Khan,Vishal Dixit,Undisclosed,,
Ola Electric,,Bangalore,eMobility,Electric vehicle,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,"$1,000,000",,
Multi Living,,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",Pankaj Singh,Lodha Ventures,"$6,000,000",,
FamPay,,Bangalore,Fintech,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital","$4,700,000",Seed Round,
UnboxRobotics Labs,,Bangalore,Automation tech,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, CIIE.CO","$500,000",Seed Round,
Karbon Card,,Bangalore,Fintech,Specialisde corporate cards for startups,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta","$2,000,000",Seed Round,
Airmeet,,Bangalore,Media & Networking,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups","Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India,"$3,000,000",,
Innerchef,,Gurgaon,Foodtech,Cloud kitchen platform,Rajesh,Mistletoe,"$1,000,000",,
Epigamia,2015,Mumbai,FMCG,Flavoured and greek yoghurt brand,Rohan Mirchandani,KA Enterprise,"25,58,000",Series C,
StyleNook,,Mumbai,Ecommerce,Marketplace for fashionable apparel,Lathika Pai,"Lead Angels Network, Stanford Angels",Undisclosed,,
Callido Learning,,Mumbai,Edtech,Provides a structured educational approach to critical thinking and problem solving skills,Sriram Subramanian,Education Catalyst Fund,Undisclosed,,
Soxytoes,,Delhi,Ecommerce,Online store to buy various types of socks including funky and colorful socks,"Vidushi Kajaria, Aayush Goenka",Angel network,Undisclosed,,
F5,2018,Delhi,E-market,Retail Aggregator,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,Undisclosed,Seed Round,
Paper Boat,2013,Bangalore,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture","$4,049,500",,
Strata,2019,Bangalore,Proptech,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India","$1,500,000",Seed Round,
Salesken,,Bangalore,AI & Data science,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,"$8,000,000",Series A,
Arya,,Noida,Agritech,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,"$6,000,000",Series B,
Leap Finance,,Bangalore,Fintech,Provides education loans to students based on the student’s future income,"Vaibhav Singh, Arnav Kumar",Sequoia India,"$5,500,000",,
Sleepy Owl,2016,Delhi,Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.","Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,Undisclosed,,
Tricog,2015,Bangalore,Healthtech,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund","$10,500,000",Series B,
GogoBus,,Delhi,Travel tech,Inter-City Mobility Startup,Amit Gupta,Ixigo,Undisclosed,,
Trell,2016,Bangalore,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ","$4,000,000",Pre series A,
Spaciya Consultants,,Noida,Real Estate,Real estate consultancy firms,Ajit Panda,Alok Garg,"$500,000",Pre series A,
Bounce,2014,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,"$6,500,000",,
Neeman,2017,,Ecommerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,"$1,000,000",Pre series A,
Chqbook,2017,Gurugram,Fintech,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,"$5,000,000",Series A,
SMEcorner,2014,Mumbai,Fintech,Financial lending firm to SMEs,"Bhatia, Sneha Shah",Paragon Partners,"$30,000,000",Series B,
Oda Class,,Bangalore,Edtech,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni","Li Yong, Shushant Srivastava",Yuanfudao,Undisclosed,Pre series A,
Spinny,2015,Haryana,E-tail,Used car retailing platform,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal","$43,700,000",Series B,
goStops,2012,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.,Undisclosed,,
Umeed Housing,,Haryana,Fintech,Housing finance company,Ashutosh Sharma,Morgan Stanley Private Equity Asia,"$23,000,000",Series D,
Vogo,2016,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,"$20,000,000",Series C,
Flick Stree,,Mumbai,AI & Media,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,"$3,000,000",Series A,
Qure ai,2016,Mumbai,Healthtech,Provides interpretations of radiology scans,"Prashant Warier, Pooja Rao",Sequoia India,"$16,000,000",,
MinionLabs,,Bangalore,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,Undisclosed,,
Josh Talks,2015,Haryana,Media,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,"$1,500,000",Pre series A,
PhoneParLoan,2015,Delhi,Fintech,Provides easy loans,Ringaile Noq,Accelerator MOX,Undisclosed,,
RailYatri,2011,Noida,Travel,A complete Indian railways app,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation","$13,800,000",,
AjnaLens,2014,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)","$1,500,000",Pre series A,
Pepper,2017,Mumbai,Content Marktplace,End to end content creation platform,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal","$306,900",Seed funding,
Rupeek,2015,Bangalore,Fintech,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners","$30,000,000",,
iMerit,2012,Kolkata,IT,Turns information into data that is usable for machine learning processes,Radha Basu,CDC Group Plc,"$20,000,000",Series B,
BharatPe,2018,Delhi,Fintech,Digital payments platform,Ashneer Grover,Ribbit Capital,"$75,000,000",Series C,
Invideo,,,Visual Media,Video production and editing platform,Sanket Shah,Sequoia Capital’s Surge,"$2,500,000",,
AvalonMeta,2017,,Edtech,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,"$420,000",,
Near Store,,Mumbai,Ecommerce,Enables a shop to create an online presence,,Sauce.vc,"$300,000",Seed Round,
ElecTorq,,Delhi,Automobile,Electric vehicle startup,Anubhav Sharma,AdvantEdge,Undisclosed,,
Prayaan Capital,,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,"$1,200,000",Seed Round,
Sanfe,,Delhi,Hygiene,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital","$1,100,000",Pre series A,
Go Desi,2018,Delhi,Foodtech,Provides traditional delicacies,Vinay Kothari,Rukam Capital,"$627,300",Seed Round,
Swiggy,2014,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,"$113,000,000",Series A,
Whatfix,2014,Banglore,SaaS,"Digital adoption platform that helps companies provide intuitive onboarding, training and support","Khadim Batti, Vara Kumar",Sequoia Capital India,"$32,000,000",Series C,
Unacademy,2010,Bangalore,Edtech,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures","$110,000,000",Series E,
Zvesta,2015,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,"$5,500,000",,
Dunzo,2014,Bangalore,Logistics,India-based hyperlocal delivery startup,Kabeer Biswas,Alteria Capital,"$11,000,000",,
Digit Insurance,,Bangalore,Insurtech,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma","$340,000",,
Yolo,2019,Gurugram,Transport,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,"$600,000",Seed funding,
SmartVizX,2015,,VR & SaaS,It developed India’s first VR-based design communication and collaboration product Trezi,"Tithi Tewari, Gautam Tewari",Rockstud Capital,"$1,397,000",Pre series A,
MaxWholesale,2016,Delhi,Ecommerce,B2B ecommerce platform for kirana stores,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)","$3,000,000",Series A,
Carbon Clean,2009,,Cleantech,Develops affordable carbon capture technology,"Aniruddha Sharma, Prateek Bumb","WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.","$16,000,000",,
Onsitego,,,Sales & Services,It offers post-purchase services through a network of brand authorised service centres throughout the country,Mahipal,Zodius Growth Fund,"$19,000,000",Series B,
Genius Corner,2014,Noida,Edtech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats","$250,000",,
PlanetSpark,2016,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels","$448,500",,
CamCom,2017,Bangalore,AI & Deep learning,AI automation platform for enterprise quality control,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,",Undisclosed,,
Simsim,,Bangalore,Social Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital","$8,000,000",Series B,
Shuttl,2015,Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,"$7,975,700",Series C,
HooLiv,,Delhi,Housing & Rentals,Student Co-living startup,"Chinmoy Mishra, Gaurav Vij, and Abhishek Verma",Kolte-Patil Family Office,Undisclosed,,
ClassMonitor,,Indore,Edtech,The learning platform that blends curriculum-based activities for children,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana,Undisclosed,,
Friyey,,Pune,Co-working,Co working space startup,Yogesh Thore,Tarun Bhalla,Undisclosed,,
Oga,,Bangalore,Fitness,Provides interactive fitness experience to people across the world,Ashish Rawat,Inflection Point Ventures,"$330,000",,
Big Basket,,Bangalore,Estore,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital,"$3,500,000",,
CYFIRMA,,Bangalore,SaaS,Offer cybersecurity services,Ritesh Kumar,Z3 Partners,Undisclosed,Series A,
Innoviti,,Bangalore,,Digital payments solutions company,Rajeev Agrawal,FMO,"$5,000,000",,
Paytm money,2010,Bangalore,Fintech,Wealth Management,Vijay Shekhar Sharma,One97 Communications,"$5,600,000",,
Vedantu,,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital,"$24,000,000",Series C,
Yap,,Chennai,Fintech,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta","$1,402,000",,
Clover,,Bangalore,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield","$5,500,000",Series A,
Nova Credit,,,Fintech,Cross-border consumer credit startup,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.","$50,000,000",Series B,
CodingNinjas,2016,Delhi,Edtech,Online learning platform,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,"$5,200,000",Series A,
Furlenco,2011,Bangalore,Ecommerce,Furniture rental startup,Ajith Mohan Karimpana,Chowdry Associates,"$2,200,000",Series C,
Brick&Bolt,2018,Bangalore,,Operates in the residential construction space,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,"$1,500,000",Pre series A,
HempStreet,2019,,Healthtech,Manufacturer of ayurvedic medicines based on cannabis,Abhishek Mohan,Pharmacon Holdings,"$1,000,000",Pre series A,
MoEngage,,Bangalore,Marketing,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,"$25,000,000",Series C,
Classplus,2018,,Edtech,It allows coaching centres to take their brick-and-mortar setup online,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia","$2,500,000",Pre series A,
Chaayos,2012,,Beverages,Provides customised range of tea,"Nitin Saluja, Raghav Verma",Think Investment,"$21,500,000",,
PetPooja,2011,Ahmedabad,SaaS,Restaurant management software provider,Apurv Patel,Udaan,"$2,000,000",,
Altor,,,Tech,Makes helmets that are IoT and AI enabled,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts,Undisclosed,,
Pepperfry,2013,Mumbai,E-market,Online home furniture marketplace,"Ambareesh Murty, Ashish Shah",Pidilite Industries,"$40,000,000",Series F,
FirstCry,2010,Pune,E-market,Baby products marketplace,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund,"$296,000,000",Series E,
Byju,2011,,Edtech,Provides online learning classes,Byju Raveendran,General Atlantic,"$200,000,000",,
Waycool,2015,Chennai,Agritech,Food development and distribution services,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,"$32,000,000",Series C,
WorkIndia,,,HR tech,An online and mobile-based platform that connects companies with blue collar employees.,Kunal Patil,Xiaomi,"$6,000,000",,
Qyuki,,Mumbai,Media,Multi-channel broadcast network,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund,"$3,500,000",,
Leap India,,Coimbatore,Agritech,Agricultural warehousing and logistics company,Narain Karthikeyan.,Neev Fund,"$30,000,000",Series B,
Picxy,,Hyderabad,Media,Stock photo industry,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan","$250,000",,
Krimanshi,,Jodhpur,Agritech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,"$20,000",,
NEETprep,,Delhi,Edtech,Provides crash course for NEET preparation,Kapil Gupta,IndiaQuotient,Undisclosed,,
Dot Pvt. Ltd,,Gurugram,Fintech,It provides digital transformation and commerce solutions to brick and mortar outlets,Shailaz Nag,"PayU, Fosun RZ Capital","$8,000,000",Seed Round,
Kuku FM,,Mumbai,Media,A podcast platform,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,"$5,500,000",Series A,
